"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","上市年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"551",="3169","亞信","櫃","06/02","169.5","-5.5","-3.14","10","6.22","6.22","105","27.1","12.5","","","有","","有","","半導體業","王春旗","詹勇達"
"552",="5478","智冠","櫃","06/02","82.1","+0.7","+0.86","10","12.7","12.75","105","38.9","21.2","","","有","","","","文化創意業","王俊博","王俊博"
"553",="2323","中環","市","06/02","9.02","-0.05","-0.55","10","116","115.9","105","43.5","30.3","有","","有","有","","","光電業","翁明顯","翁明顯"
"554",="1444","力麗","市","06/02","10.9","-0.1","-0.91","10","95.7","95.73","104","43.4","31.8","","","有","","","","紡織纖維","郭紹儀","郭紹儀"
"555",="4721","美琪瑪","櫃","06/02","139","+1","+0.72","10","7.5","7.5","104","29.9","21.2","","","有","","","","化學工業","嚴隆財","嚴隆財"
"556",="5457","宣德","櫃","06/02","61.1","-2.2","-3.48","10","17","17.03","104","31.6","21.7","有","","有","有","","","電子零組件業","蔡鎮隆","蔡鎮隆"
"557",="6244","茂迪","櫃","06/02","29.2","-0.45","-1.52","10","35.5","35.5","104","41","19.1","","","有","","","","光電業","曾永輝","葉正賢"
"558",="4162","智擎","櫃","06/02","71.1","-1.3","-1.8","10","14.6","14.56","104","19.8","9.7","有","","有","","","","生技醫療業","杜德成","王宏仁"
"559",="2367","燿華","市","06/02","16.7","-0.2","-1.18","10","61.9","61.94","103","37.4","24.5","","","有","","","","電子零組件業","張元銘","洪顯青"
"560","1101B","台泥乙特","市","06/02","51.6","+0.2","+0.39","","","20","103","","3.3","","","","","","","N/A","",""
"561",="2348","海悅","市","06/02","96.8","0","0","10","13.6","10.65","103","34.8","26.4","","","有","","","有","其他業","黃希文","王俊傑"
"562","2891C","中信金丙特","市","06/02","61.5","+0.3","+0.49","","","16.67","102","","3.1","","","","","","","金控業","",""
"563",="3624","光頡","櫃","06/02","87.2","+1.3","+1.51","10","11.7","11.73","102","24.7","11.2","","","有","","","","電子零組件業","蔡高明","胡傳斌"
"564",="4306","炎洲","市","06/02","15.95","-0.05","-0.31","10","63.8","63.83","102","44.2","21.2","","","","有","","","塑膠工業","李志賢","方淑芬"
"565",="1714","和桐","市","06/02","9.95","-0.03","-0.3","10","102","101.7","101","41.8","30.8","","","有","","","","化學工業","張立秋","陳怡如"
"566",="6581","鋼聯","市","06/02","90.7","-1.3","-1.41","10","11.1","11.13","101","27","4.3","","","","","","","其他業","林明儒","林才翔"
"567",="5288","豐祥-KY","市","06/02","152","-1","-0.65","10","6.58","6.58","100","10.9","7.7","","","","","","","電機機械","游明輝","游明輝"
"568",="2489","瑞軒","市","06/02","13.15","+0.05","+0.38","10","76","76","99.9","27.8","22.7","有","","有","有","","","光電業","吳春發","吳旭軒"
"569",="3526","凡甲","櫃","06/02","169.5","-2","-1.17","10","5.85","5.89","99.9","23.6","14.6","","","有","有","","","電子零組件業","游萬益","張一偉"
"570","3702A","大聯大甲特","市","06/02","49.95","+0.05","+0.1","","","20","99.9","","2.6","","","","","","","電子通路業","",""
"571",="5234","達興材料","市","06/02","97.1","+1.1","+1.15","10","10.3","10.27","99.7","15.9","9.9","","","有","","","","光電業","林正一","郭宗鑫"
"572",="1614","三洋電","市","06/02","37.05","+0.25","+0.68","10","26.9","26.91","99.7","59.3","24.7","","","","","","","電器電纜","李文峰","李文琳"
"573","00754B","群益AAA-AA公司債","櫃","06/02","38.86","-0.01","-0.03","","","25.64","99.6","","3.6","","","","","","","N/A","",""
"574",="1264","德麥","櫃","06/02","267.5","-1.5","-0.56","10","3.71","3.71","99.1","32.9","7.2","","","","","","","食品工業","林雪嬌","吳文欽"
"575",="5538","東明-KY","市","06/02","49.15","-0.35","-0.71","10","20.1","20.12","98.9","12.5","8.5","","","","","","","鋼鐵工業","蔡清東","蔡弘泉"
"576",="2029","盛餘","市","06/02","30.75","-0.25","-0.81","10","32.1","32.12","98.8","49","25.4","","","有","","","","鋼鐵工業","北村宗一","許清俊"
"577",="2497","怡利電","市","06/02","82.9","-0.8","-0.96","10","11.9","11.88","98.5","39","20.3","","","","有","","","汽車工業","陳錫勳","陳錫勳"
